Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
178,Trey Hendrickson,CIN,DE,68,46,60,48,51,25,44,65,34,null,41,25,41,22,58,41,48,null,717,69.9,15.8,113.15
179,Denver Broncos,DEN,DST,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,113
179,Budda Baker,ARI,S,61,61,67,68,64,59,42,67,58,71,49,null,59,56,64,70,63,58,1037,95.8,10.9,113
181,Azeez Al-Shaair,SF,LB,72,58,60,56,56,null,62,null,69,53,36,48,68,42,null,50,null,null,730,88.9,15.5,112.8
182,Devonta Freeman,BAL,RB,null,10,9,6,20,21,29,null,57,42,47,40,51,49,39,33,48,27,528,45,21.3,112.6
182,Chuba Hubbard,CAR,RB,7,19,40,33,46,48,34,41,10,16,1,11,null,25,36,34,32,32,465,40.5,24.2,112.6
184,Damien Wilson,JAX,LB,60,38,57,51,55,51,null,53,48,53,60,38,43,67,49,50,48,46,867,78.2,13,112.3
185,Micah Hyde,BUF,S,58,61,54,34,86,53,null,69,61,67,62,54,51,83,71,64,53,43,1024,96.7,10.9,112.1
186,Ja'Whaun Bentley,NE,LB,39,68,30,null,37,40,45,34,30,45,42,55,54,null,11,68,36,57,691,70.1,16.1,111.5
187,Vonn Bell,CIN,S,83,65,83,56,64,49,64,84,45,null,47,39,64,71,70,59,61,null,1004,97.9,11.1,111.1
188,Andrew Van Ginkel,MIA,LB,53,46,34,44,34,47,48,35,51,67,43,43,54,null,47,45,61,49,801,71.9,13.8,110.75
189,Matt Milano,BUF,LB,58,61,54,17,null,53,null,69,61,68,62,48,51,83,71,64,53,43,916,94.1,11.9,109.2
190,Jonathan Allen,WAS,DT,47,56,69,49,41,55,35,35,null,39,43,36,31,46,59,42,47,42,772,69.7,14.1,109.1
191,Dallas Goedert,PHI,TE,52,38,34,55,45,null,64,44,53,13,75,64,68,null,66,53,57,null,781,78.6,14,109
191,Pittsburgh Steelers,PIT,DST,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
191,J.C. Jackson,NE,CB,54,49,60,78,59,84,52,54,38,46,42,47,56,null,52,74,39,61,945,88.8,11.5,109
194,Emmanuel Ogbah,MIA,DE,48,47,63,37,37,41,42,60,53,46,45,43,38,null,35,39,41,40,755,67.8,14.4,108.9
194,Patrick Queen,BAL,ILB,72,51,62,57,50,19,27,null,36,36,44,38,55,55,53,70,43,58,826,75.9,13.2,108.9
196,Taylor Rapp,LAR,DB,69,66,73,78,65,64,69,43,56,68,null,82,54,78,57,63,71,58,1114,96.5,9.8,108.7
197,Kyle Pitts,ATL,TE,49,57,52,55,54,null,42,44,44,33,44,47,67,37,49,36,27,37,774,73.6,14,108.6
198,Alex Highsmith,PIT,LB,46,44,null,40,40,65,null,54,49,66,64,48,60,31,66,54,56,68,851,76.1,12.8,108.55
